字	拆分	全码	类型	末字根
旅	 	ehi	二根	
嬴	 女	you	二根	女
羸	 羊	yas	二根	羊
赢	 贝	yqh	二根	贝
麒	 其	dkt	二根	其
度	 又	fzn	难拆	又
庹	 尺	fqi	二根	尺
席	 巾	fsu	难拆	巾
庶	 灬	fxl	二根	灬
受	 又	xzn	难拆	又
爱	 友	xam	难拆	友
舜	 舛	xoo	二根	舛
留	 田	tty	难拆	田
贸	 贝	tqh	二根	贝
益	 皿	byz	二根	皿
劳	 力	bso	难拆	力
营	 吕	byo	难拆	吕
茔	 土	bck	二根	土
荣	 木	byq	二根	木
荥	 水	bbk	二根	水
荧	 火	bxl	二根	火
莹	 玉	bjg	二根	玉
萦	 糸	bcp	二根	糸
萤	 虫	bhk	二根	虫
荤	 车	bep	二根	车
莺	 鸟	buc	二根	鸟
東	 	aig	二根	
坚	 土	uck	二根	土
竖	 立	ujk	二根	立
